HJD-2450000,mag,error
2184.308480,14.675,0.005
2189.353406,14.871,0.005
2185.425473,14.691,0.005
2190.418769,14.890,0.005
2194.420764,14.687,0.005
2188.551060,14.834,0.006
2193.552902,14.732,0.005
2186.672195,14.746,0.005
2192.690499,14.782,0.005
2184.826444,14.668,0.005
2189.808939,14.890,0.005
2186.167405,14.760,0.005
2191.517840,14.833,0.005
2184.643542,14.673,0.005
2192.602193,14.766,0.005
2184.762588,14.668,0.005
2188.745356,14.859,0.005
2186.847500,14.773,0.005
2188.892294,14.862,0.005
2190.870622,14.859,0.005
2192.831384,14.762,0.005
2193.891169,14.707,0.005
2187.976600,14.813,0.005
2189.941516,14.895,0.005
2194.963178,14.677,0.005
2187.055564,14.785,0.005
2190.037061,14.870,0.005
2192.037109,14.800,0.005
2195.033918,14.674,0.005
2185.156759,14.682,0.005
2187.176509,14.762,0.005
2189.142375,14.862,0.005
2191.117854,14.841,0.005
2194.120122,14.686,0.005
2199.075556,14.792,0.005
2199.958136,14.813,0.005
2200.982432,14.862,0.005
2203.243836,14.829,0.005
2207.123343,14.679,0.005
2198.261578,14.745,0.005
2201.204501,14.877,0.005
2203.209179,14.835,0.005
2207.216515,14.679,0.005
2198.324722,14.751,0.005
2200.276344,14.845,0.005
2202.302742,14.868,0.005
2203.295585,14.837,0.005
2204.174842,14.788,0.005
2197.430272,14.732,0.005
2199.411330,14.818,0.005
2201.428826,14.879,0.005
2203.417836,14.847,0.005
2205.411237,14.711,0.005
2196.515527,14.708,0.005
2198.494567,14.768,0.005
2200.490343,14.875,0.005
2202.499530,14.877,0.005
2204.554532,14.773,0.005
2197.596913,14.745,0.005
2199.600166,14.819,0.005
2201.592262,14.880,0.005
2203.585308,14.823,0.005
2206.557666,14.658,0.005
2196.691663,14.697,0.005
2198.713076,14.777,0.005
2200.685469,14.865,0.005
2202.739996,14.859,0.005
2204.712034,14.732,0.005
2195.804573,14.674,0.005
2197.839991,14.724,0.005
2201.857179,14.878,0.005
2203.817584,14.809,0.005
2205.841608,14.684,0.005
2197.029812,14.703,0.005
2201.032401,14.877,0.005
2202.990907,14.839,0.005
2205.002943,14.730,0.005
2196.156015,14.699,0.005
2200.115875,14.835,0.005
2206.135485,14.682,0.005
2200.261983,14.864,0.005
2204.288903,14.755,0.005
2200.372009,14.855,0.005
2201.497904,14.881,0.005
2197.630859,14.736,0.005
2199.279821,14.815,0.006
2202.194021,14.842,0.006
2196.541283,14.706,0.006
2201.564963,14.882,0.006
2202.516621,14.845,0.006
2205.423344,14.682,0.005
2206.540218,14.673,0.005
2196.664483,14.708,0.005
2202.684924,14.828,0.006
2204.653045,14.718,0.005
2195.768254,14.693,0.005
2196.800977,14.709,0.005
2198.736102,14.773,0.005
2199.757431,14.827,0.005
2200.775555,14.866,0.005
2201.791780,14.874,0.006
2202.816077,14.849,0.006
2206.775344,14.656,0.005
2195.668079,14.660,0.005
2195.822614,14.672,0.005
2197.846519,14.749,0.005
2198.834733,14.793,0.006
2199.909117,14.845,0.005
2201.928868,14.863,0.006
2203.835981,14.758,0.005
2206.867447,14.672,0.005
2201.972308,14.882,0.006
2202.952214,14.823,0.006
2203.968084,14.758,0.005
2205.052912,14.690,0.005
2207.034444,14.664,0.005
2197.199657,14.734,0.005
2202.167910,14.871,0.006
2204.039654,14.745,0.005
2205.035702,14.703,0.005
2206.059998,14.664,0.005
2207.029103,14.665,0.005
2197.188144,14.730,0.005
2199.177036,14.794,0.005
2201.168776,14.886,0.005
2206.157561,14.688,0.005
2196.290965,14.713,0.005
2198.320924,14.789,0.006
2201.248773,14.882,0.006
2203.151732,14.808,0.006
2204.307181,14.754,0.006
2207.227909,14.698,0.005
2199.324449,14.823,0.005
2201.342775,14.872,0.005
2205.414561,14.700,0.005
2207.306245,14.697,0.006
2196.533093,14.713,0.005
2198.477239,14.784,0.006
2203.522402,14.783,0.005
2206.462120,14.694,0.005
2196.617363,14.726,0.005
2199.598742,14.828,0.005
2201.639382,14.847,0.005
2204.568893,14.741,0.005
2195.708909,14.704,0.005
2200.712056,14.855,0.005
2215.593668,14.765,0.005
2208.739429,14.730,0.005
2213.742338,14.828,0.005
2216.662354,14.709,0.005
2218.700858,14.677,0.005
2208.770763,14.736,0.006
2210.809267,14.811,0.005
2212.853230,14.881,0.006
2214.822182,14.789,0.005
2216.798610,14.676,0.005
2218.821091,14.675,0.005
2208.925535,14.746,0.006
2209.914580,14.790,0.006
2211.874036,14.871,0.005
2218.904530,14.693,0.005
