Wavelength,Flux
4378,2.83E-12
4379.4,2.92E-12
4380.8,2.92E-12
4382.2,2.86E-12
4383.6,2.76E-12
4385,2.67E-12
4386.4,2.68E-12
4387.8,2.74E-12
4389.2,2.79E-12
4390.6,2.82E-12
4392,2.83E-12
4393.4,2.83E-12
4394.8,2.81E-12
4396.2,2.79E-12
4397.6,2.84E-12
4399,2.85E-12
4400.4,2.81E-12
4401.8,2.76E-12
4403.2,2.79E-12
4404.6,2.83E-12
4406,2.84E-12
4407.4,2.85E-12
4408.8,2.84E-12
4410.2,2.86E-12
4411.6,2.88E-12
4413,2.87E-12
4414.4,2.83E-12
4415.8,2.76E-12
4417.2,2.73E-12
4418.6,2.78E-12
4420,2.86E-12
4421.4,2.90E-12
4422.8,2.87E-12
4424.2,2.83E-12
4425.6,2.83E-12
4427,2.85E-12
4428.4,2.88E-12
4429.8,2.88E-12
4431.2,2.86E-12
4432.6,2.82E-12
4434,2.77E-12
4435.4,2.74E-12
4436.8,2.76E-12
4438.2,2.84E-12
4439.6,2.88E-12
4441,2.86E-12
4442.4,2.80E-12
4443.8,2.73E-12
4445.2,2.73E-12
4446.6,2.78E-12
4448,2.84E-12
4449.4,2.85E-12
4450.8,2.84E-12
4452.2,2.83E-12
4453.6,2.80E-12
4455,2.73E-12
4456.4,2.66E-12
4457.8,2.66E-12
4459.2,2.69E-12
4460.6,2.71E-12
4462,2.72E-12
4463.4,2.73E-12
4464.8,2.76E-12
4466.2,2.78E-12
4467.6,2.72E-12
4469,2.69E-12
4470.4,2.70E-12
4471.8,2.73E-12
4473.2,2.79E-12
4474.6,2.83E-12
4476,2.83E-12
4477.4,2.83E-12
4478.8,2.80E-12
4480.2,2.71E-12
4481.6,2.60E-12
4483,2.59E-12
4484.4,2.66E-12
4485.8,2.77E-12
4487.2,2.81E-12
4488.6,2.77E-12
4490,2.74E-12
4491.4,2.72E-12
4492.8,2.76E-12
4494.2,2.77E-12
4495.6,2.79E-12
4497,2.81E-12
4498.4,2.85E-12
4499.8,2.82E-12
4501.2,2.79E-12
4502.6,2.81E-12
4504,2.86E-12
4505.4,2.89E-12
4506.8,2.88E-12
4508.2,2.84E-12
4509.6,2.84E-12
4511,2.86E-12
4512.4,2.87E-12
4513.8,2.84E-12
4515.2,2.80E-12
4516.6,2.78E-12
4518,2.77E-12
4519.4,2.74E-12
4520.8,2.71E-12
4522.2,2.72E-12
4523.6,2.73E-12
4525,2.71E-12
4526.4,2.64E-12
4527.8,2.61E-12
4529.2,2.62E-12
4530.6,2.63E-12
4532,2.62E-12
4533.4,2.59E-12
4534.8,2.58E-12
4536.2,2.64E-12
4537.6,2.74E-12
4539,2.78E-12
4540.4,2.74E-12
4541.8,2.73E-12
4543.2,2.75E-12
4544.6,2.77E-12
4546,2.75E-12
4547.4,2.71E-12
4548.8,2.64E-12
4550.2,2.58E-12
4551.6,2.58E-12
4553,2.61E-12
4554.4,2.57E-12
4555.8,2.55E-12
4557.2,2.59E-12
4558.6,2.67E-12
4560,2.75E-12
4561.4,2.76E-12
4562.8,2.72E-12
4564.2,2.68E-12
4565.6,2.69E-12
4567,2.72E-12
4568.4,2.74E-12
4569.8,2.75E-12
4571.2,2.72E-12
4572.6,2.66E-12
4574,2.68E-12
4575.4,2.71E-12
4576.8,2.73E-12
4578.2,2.74E-12
4579.6,2.73E-12
4581,2.69E-12
4582.4,2.63E-12
4583.8,2.58E-12
4585.2,2.55E-12
4586.6,2.55E-12
4588,2.58E-12
4589.4,2.61E-12
4590.8,2.62E-12
4592.2,2.62E-12
4593.6,2.65E-12
4595,2.69E-12
4596.4,2.70E-12
4597.8,2.69E-12
4599.2,2.66E-12
4600.6,2.65E-12
4602,2.66E-12
4603.4,2.67E-12
4604.8,2.67E-12
4606.2,2.65E-12
4607.6,2.69E-12
4609,2.74E-12
4610.4,2.72E-12
4611.8,2.70E-12
4613.2,2.67E-12
4614.6,2.64E-12
4616,2.62E-12
4617.4,2.61E-12
4618.8,2.61E-12
4620.2,2.62E-12
4621.6,2.64E-12
4623,2.65E-12
4624.4,2.64E-12
4625.8,2.63E-12
4627.2,2.63E-12
4628.6,2.64E-12
4630,2.64E-12
4631.4,2.67E-12
4632.8,2.68E-12
4634.2,2.66E-12
4635.6,2.62E-12
4637,2.61E-12
4638.4,2.63E-12
4639.8,2.63E-12
4641.2,2.62E-12
4642.6,2.62E-12
4644,2.61E-12
4645.4,2.59E-12
4646.8,2.57E-12
4648.2,2.56E-12
4649.6,2.58E-12
4651,2.62E-12
4652.4,2.64E-12
4653.8,2.63E-12
4655.2,2.61E-12
4656.6,2.60E-12
4658,2.62E-12
4659.4,2.67E-12
4660.8,2.71E-12
4662.2,2.70E-12
4663.6,2.68E-12
4665,2.64E-12
4666.4,2.56E-12
4667.8,2.47E-12
4669.2,2.49E-12
4670.6,2.54E-12
4672,2.57E-12
4673.4,2.59E-12
4674.8,2.61E-12
4676.2,2.66E-12
4677.6,2.68E-12
4679,2.65E-12
4680.4,2.58E-12
4681.8,2.57E-12
4683.2,2.61E-12
4684.6,2.62E-12
